ItemNumber,InventoryUnitSymbol,UnitCost,PurchId,InvoiceId,PackingSlipId,PurchUnit,PurchPrice,InvoiceDocumentDate,CreatedDateTimeInvoice,NumUnit,UnitPrice
100087,U.,24.47,MSA-009003,F316-00001523,706-0004298,U,25.4703,2021-02-24,2021-03-03T21:47:45Z,1,25.47
100088,U.,25.73,MSA-009001,F316-00001385,706-0003918,U,25.47,2021-02-23,2021-03-01T19:23:12Z,1,25.47
100089,U.,1.3,MSA-008998,F316-00001389,706-0003938,Emp.20,26.028,2021-02-23,2021-02-27T19:45:40Z,20,1.3
100090,U.,0,,,,,,,,,
100091,U.,0,,,,,,,,,
100092,U.,0,,,,,,,,,
100093,U.,5.16,MSA-003961,F003-01362123,026-0000713,Emp.12,64.8898,2020-10-19,2020-10-20T19:38:11Z,12,5.41
100094,U.,0,,,,,,,,,
100095,U.,2.93,MSA-006251,F001-00531943,600-2168611,Emp.12,35.1123,2020-12-15,2020-12-22T21:44:41Z,12,2.93
100096,U.,3.42,MSA-004010,F001-00835405,011-1752919,U,3.4152,2020-11-13,2020-11-20T18:00:58Z,1,3.42
100097,U.,6.57,MSA-008629,F721-00000326,721-0000800,Emp.24,157.534,2021-02-05,2021-02-12T19:34:45Z,24,6.56
100098,U.,0,,,,,,,,,
100099,U.,6.56,MSA-008641,F721-00000321,721-0000787,Emp.24,157.534,2021-02-05,2021-02-12T19:09:46Z,24,6.56
100100,U.,4.35,MSA-008649,F003-00009800,0005-003258,Emp.6,26.0762,2021-02-18,2021-02-19T20:03:43Z,6,4.35
100101,U.,6.57,MSA-007482,F001-00539748,600-2196565,Emp.24,157.534,2021-01-24,2021-01-27T19:41:58Z,24,6.56
100102,U.,1.3,MSA-003996,F001-00521485,600-2145273,Emp.60,78.19,2020-10-24,2020-11-02T17:56:47Z,60,1.3
100103,U.,19.51,MSA-008998,F316-00001389,706-0003941,Emp.7,151.7533,2021-02-23,2021-02-27T19:45:40Z,7,21.68
100104,U.,2.84,MSA-008629,F721-00000325,721-0000795,Emp.30,87.178,2021-02-05,2021-02-12T19:36:43Z,30,2.91
100105,U.,36.9,MSA-008998,F316-00001389,706-0003941,Emp.4,140.57,2021-02-23,2021-02-27T19:45:40Z,4,35.14
100106,U.,3.81,MSA-008629,F721-00000325,721-0000795,Emp.24,91.4576,2021-02-05,2021-02-12T19:36:43Z,24,3.81
100107,U.,5.63,MSA-008998,F316-00001389,706-0003941,Emp.15,80.48,2021-02-23,2021-02-27T19:45:40Z,15,5.37
100108,U.,43.42,MSA-008998,F316-00001389,706-0003941,Emp.3,129.471,2021-02-23,2021-02-27T19:45:40Z,3,43.16
100109,U.,22.76,MSA-007482,F001-00539707,600-2186426,Emp.7,159.34,2021-01-23,2021-01-30T18:48:23Z,7,22.76
100110,U.,2.7,MSA-009741,F316-00003890,706-0010783,Emp.30,81.1084,2021-03-15,2021-03-22T17:40:58Z,30,2.7
100111,U.,5.62,MSA-009741,F316-00003890,706-0010783,Emp.15,84.5085,2021-03-15,2021-03-22T17:40:58Z,15,5.63
100112,U.,12.96,MSA-008998,F316-00001389,706-0003941,Emp.8,102.8,2021-02-23,2021-02-27T19:45:40Z,8,12.85
